title,company,location,link
"QA (Quality Assurance) Automation Engineer - Remote, Full Time",FullStack Labs,"Columbus, OH",https://www.indeed.com/viewjob?jk=7a53b2b2b6d70891
"Cloud Enablement - Analytics & Cognitive, Manager (Financial Services)",Deloitte,"Columbus, OH",https://www.indeed.com/viewjob?jk=3bed0e81680a0d2f
Tech Lead,Cardinal Health,"Dublin, OH",https://www.indeed.com/viewjob?jk=6d653a7e1dd6f39b
Java Software Engineer,"JPMorgan Chase Bank, N.A.","Columbus, OH",https://www.indeed.com/viewjob?jk=e986824a9bd98058
QA Engineer,Veeva Systems,"Columbus, OH",https://www.indeed.com/viewjob?jk=2f5f0734e5c0ae8b
Network Engineer 3,Huntington Bank,"Columbus, OH",https://www.indeed.com/viewjob?jk=4ee2f2a9f1667ff2
Senior Cyber Security Engineer - Incident Response,Cardinal Health,"Dublin, OH",https://www.indeed.com/viewjob?jk=53f101c03b094e4f
"Associate, Software Engineer II - Advanced Data Engineering","JPMorgan Chase Bank, N.A.","Columbus, OH",https://www.indeed.com/viewjob?jk=300306dd20bcbed0
CSV Test Automation Manager,Veeva Systems,"Columbus, OH",https://www.indeed.com/viewjob?jk=0c9d91378be59638
Business Intelligence Analyst,Soothsayer Analytics,"Dublin, OH",https://www.indeed.com/viewjob?jk=faba55bc986609ca
"Consultant I - Threat Vulnerability Management & Remediation | Remote, USA - East Coast",Optiv,"Columbus, OH",https://www.indeed.com/viewjob?jk=1cd2cbe60cc4a444
Site Reliability Engineering,"JPMorgan Chase Bank, N.A.","Columbus, OH",https://www.indeed.com/viewjob?jk=d9dd70b1d9a07062
Software Product Integration Engineer II,WOW!,"Columbus, OH",https://www.indeed.com/viewjob?jk=4e892b78506ceb6d
Product Analyst Sr. - Pricing and Analytics - Consumer,"JPMorgan Chase Bank, N.A.","Columbus, OH",https://www.indeed.com/viewjob?jk=984c768b20a64826
Offensive Security Engineer,Klarna,"Columbus, OH",https://www.indeed.com/viewjob?jk=4983d54d5a2b2ddf
Data Scientist,Alliance Data,"Columbus, OH",https://www.indeed.com/viewjob?jk=073a208775f208b9
Water Resources Data Manager,"Amazon Data Services, Inc.","Columbus, OH",https://www.indeed.com/viewjob?jk=bcca526624ef44ba
Senior Data Engineer,Gathi Analytics,"Columbus, OH",https://www.indeed.com/viewjob?jk=a5497ea9392186c6
COL - Data Engineer,Daugherty Business Solutions,"Columbus, OH",https://www.indeed.com/viewjob?jk=94b3b4df2fa00fea
SOA Integration Architect,"Perficient, Inc","Columbus, OH",https://www.indeed.com/viewjob?jk=f0e0d6607586bdac
Sr. Statistical Consultant,Alliance Data,"Columbus, OH",https://www.indeed.com/viewjob?jk=6e248f0d5e1e611b
Engineering-Modeler/Programmer,Battelle,"Columbus, OH",https://www.indeed.com/viewjob?jk=14837d23d6b87218
Senior Software Engineer - Machine Learning,"Upstart Network, Inc.","Columbus, OH",https://www.indeed.com/viewjob?jk=1650f5cb56a23dab
Pricing Manager & Actuary,Root Insurance Company,"Columbus, OH",https://www.indeed.com/viewjob?jk=9803bb3a4913e55f
Associate Release Engineer,Veeva Systems,"Columbus, OH",https://www.indeed.com/viewjob?jk=be014d94bec36945
Sofware Engineer,State Auto Insurance Companies,"Columbus, OH",https://www.indeed.com/viewjob?jk=38a102ac3934898f
Data Science Consultant,Accenture,"Columbus, OH",https://www.indeed.com/viewjob?jk=c71570cadf4c9618
Site Reliability Engineer,Eaton,"Columbus, OH",https://www.indeed.com/viewjob?jk=1b58035d08c3b0b1
Part-Time Computer Science Tutor,Franklin University,"Columbus, OH",https://www.indeed.com/viewjob?jk=56bef4f465d42d51
Software Engineer,"JPMorgan Chase Bank, N.A.","Columbus, OH",https://www.indeed.com/viewjob?jk=d8ac1e2996454026
Automation Engineer,Veeva Systems,"Columbus, OH",https://www.indeed.com/viewjob?jk=245ce71fe79c9a21
Enterprise Architect,American Chemical Society,"Columbus, OH",https://www.indeed.com/viewjob?jk=d3df21a7560e12d9
Microscopist III,Battelle,"Columbus, OH",https://www.indeed.com/viewjob?jk=4d15797d8b3577b4
Data Scientist,American Chemical Society,"Columbus, OH",https://www.indeed.com/viewjob?jk=59c0668ea74ff3ca
"Senior Associate, Information Security Operations",KPMG,"Columbus, OH",https://www.indeed.com/viewjob?jk=9e96195762569b8d
"Python Application Developer - Remote, Full Time",FullStack Labs,"Columbus, OH",https://www.indeed.com/viewjob?jk=d0a797e8fbea5495
Mid-Level Vulnerability Researcher,Battelle,"Columbus, OH",https://www.indeed.com/viewjob?jk=54851f3f98158a69
Data Scientist III,Battelle,"Columbus, OH",https://www.indeed.com/viewjob?jk=ffa7f39f0a91dcb5
Senior Full Stack Engineer,Huckleberry Insurance,"Columbus, OH",https://www.indeed.com/viewjob?jk=638d2ec17528c159
Performance Diagnostic Engineering Mgr,Accenture,"Columbus, OH",https://www.indeed.com/viewjob?jk=869ba9b248519121
"Sr. Consultant, Data Science (Computational Telematics)",Nationwide,"Columbus, OH",https://www.indeed.com/viewjob?jk=05f23ddd6a08c221
Data Scientist,"Upstart Network, Inc.","Columbus, OH",https://www.indeed.com/viewjob?jk=d881fb017e1a4c31
"Staff Software Engineer, Pricing",Root Insurance Company,"Columbus, OH",https://www.indeed.com/viewjob?jk=aeae6060baa28c98
Senior Reverse Engineer,Battelle,"Columbus, OH",https://www.indeed.com/viewjob?jk=f73df5e6bbb01d86
DevOps Engineer,Nexient,"Columbus, OH",https://www.indeed.com/viewjob?jk=7c4a3afeea529268
Senior DevOps Engineer,Upstart,"Columbus, OH",https://www.indeed.com/viewjob?jk=4d54bac403318d31
Data Infrastructure Engineer,Nexient,"Columbus, OH",https://www.indeed.com/viewjob?jk=954100b6dc04de8b
Senior Security Engineer,The Ohio State University,"Columbus, OH",https://www.indeed.com/viewjob?jk=b9d98be63f1db51a
"Project Software Engineer, Cloud",Rockwell Automation,"Columbus, OH",https://www.indeed.com/viewjob?jk=ec108f8e6affe1fe
AML Business Analyst 3,Huntington Bank,"Columbus, OH",https://www.indeed.com/viewjob?jk=0df2dd6871307580
Senior Bioinformatics Scientist - Center for Childhood Cancer and Blood Diseases,Nationwide Children's Hospital,"Columbus, OH",https://www.indeed.com/viewjob?jk=32b92f46ea60d7fc
Strategic Business Analyst I,"JPMorgan Chase Bank, N.A.","Columbus, OH",https://www.indeed.com/viewjob?jk=af7679dafb548569
Software Developer 4 (JoinOCI-SDE),Oracle,"Dublin, OH",https://www.indeed.com/viewjob?jk=778e3b75830de215
Data Engineering Lead,"JPMorgan Chase Bank, N.A.","Columbus, OH",https://www.indeed.com/viewjob?jk=283bab0f2b633318
Data Engineer Senior,PNC Financial Services Group,"Columbus, OH",https://www.indeed.com/viewjob?jk=b66205b2aaeeed67
Sr. Infrastructure Development,"JPMorgan Chase Bank, N.A.","Columbus, OH",https://www.indeed.com/viewjob?jk=1fb94d1721f9c8e6
"Manager, Solution Architecture – Project Omnia",Deloitte,"Columbus, OH",https://www.indeed.com/viewjob?jk=9bc79ca9f45a1674
Test Automation Engineer/Consultant - MW,Accenture,"Columbus, OH",https://www.indeed.com/viewjob?jk=0c1426be5688b43c
COL - Software Engineer and Architect,Daugherty Business Solutions,"Columbus, OH",https://www.indeed.com/viewjob?jk=a437360aa11d63d9
"Supervisor, IT Integration and Manufacturing",SYNNEX Corporation,"Grove City, OH",https://www.indeed.com/viewjob?jk=c220f1052fbe341c
Systems Engineering Intelligent Automation Cloud Testing Senior Consultant,Deloitte,"Columbus, OH",https://www.indeed.com/viewjob?jk=eba7155a6f3b1973
AWS BI Lead,Accenture,"Columbus, OH",https://www.indeed.com/viewjob?jk=2df7a8f9eed293dd
Senior Software Engineer (cloud/backend),New Relic,"Columbus, OH",https://www.indeed.com/viewjob?jk=b7d9b5dbdcfff089
DevOps Automation Engineer,Cardinal Health,"Dublin, OH",https://www.indeed.com/viewjob?jk=2cd2e7a567ca29db
Senior Software Engineer,Eaton,"Columbus, OH",https://www.indeed.com/viewjob?jk=c97568ef90db2e20
Product Support Engineer - CRM,Veeva Systems,"Columbus, OH",https://www.indeed.com/viewjob?jk=9986ee23b0123373
"Consultant, Technology Engineer (Cloud Infrastructure Engineering)",Nationwide,"Columbus, OH",https://www.indeed.com/viewjob?jk=910eac87888c61cb
Machine Learning Research Scientist,DCS Corp,"Columbus, OH",https://www.indeed.com/viewjob?jk=d19b3c9aed1a2322
"Data Scientist, Pricing R&D",Root Insurance Company,"Columbus, OH",https://www.indeed.com/viewjob?jk=66185f6511f0a80a
Software Cloud Design Engineer,"Innovation Associates, Inc.","Columbus, OH",https://www.indeed.com/viewjob?jk=02ba75ce47e9c452
LEAD BUSINESS INTELLIGENCE DEVELOPER,Northwest,"Columbus, OH",https://www.indeed.com/viewjob?jk=9b5c688666e2ca53
Data Engineer,CapTech Consulting,"Columbus, OH",https://www.indeed.com/viewjob?jk=6f43fad277a82ca8
Early Career Vulnerability Researcher,Battelle,"Columbus, OH",https://www.indeed.com/viewjob?jk=4a40c2633c7fb844
Senior DevOps Architect,"Amazon Web Services, Inc.","Columbus, OH",https://www.indeed.com/viewjob?jk=89df50577dd1fc19
Sr. DevOps Engineer- Azure (Remote),"Covetrus, North America","Dublin, OH",https://www.indeed.com/viewjob?jk=1264df83a059e3f6
Senior Application Modernization Architect,"Amazon Web Services, Inc.","Columbus, OH",https://www.indeed.com/viewjob?jk=72533e700da6d1ab
"Consultant, Technical Engineer (Cloud Security Engineer)",Nationwide,"Columbus, OH",https://www.indeed.com/viewjob?jk=accf96114e7b6f4a
Application Integration Engineering Lead,"JPMorgan Chase Bank, N.A.","Columbus, OH",https://www.indeed.com/viewjob?jk=3b7398ce585d3e64
Senior Vulnerability Researcher,Battelle,"Columbus, OH",https://www.indeed.com/viewjob?jk=b6b53c45d0e52aa2
Senior Biostatistician Clinical Trials (Data Scientist III),Battelle,"Columbus, OH",https://www.indeed.com/viewjob?jk=b517de83612a0506
IT SPECIALIST (SYSADMIN),US Department of the Army,"Columbus, OH",https://www.indeed.com/viewjob?jk=dd1ece1ae6f6b4db
Data Engineer,State Auto Insurance Companies,"Columbus, OH",https://www.indeed.com/viewjob?jk=f466932903f48674
Software Engineer,American Chemical Society,"Columbus, OH",https://www.indeed.com/viewjob?jk=b84afefe6896cda7
Cloud Application Migration Consultant,"Amazon Web Services, Inc.","Columbus, OH",https://www.indeed.com/viewjob?jk=6f0041319dfd843d
AWS Glue Architect,Accenture,"Columbus, OH",https://www.indeed.com/viewjob?jk=856906e9b8822e4e
Engineering Lead,State Auto Insurance Companies,"Columbus, OH",https://www.indeed.com/viewjob?jk=e37b8a3f1eaa4412
Sr. Software Engineer,State Auto Insurance Companies,"Columbus, OH",https://www.indeed.com/viewjob?jk=2f4e409eac6bdbf0
Research Scientist - RI Radiology Ho,Nationwide Children's Hospital,"Columbus, OH",https://www.indeed.com/viewjob?jk=934819edaa92534d
Hadoop Software Engineer,"JPMorgan Chase Bank, N.A.","Columbus, OH",https://www.indeed.com/viewjob?jk=fc012002b589d879
Red Hat Enterprise Linux Infrastructure System Admin,Peer Solutions Group,"Columbus, OH",https://www.indeed.com/viewjob?jk=e951f3cf2a711522
ETL Cloud Engineer (Hadoop/Spark/SQL),ACS Group,"Columbus, OH",https://www.indeed.com/viewjob?jk=4091f422a643d44f
Sr. Data Warehouse Developer,"Highlights for Children, Inc.","Columbus, OH",https://www.indeed.com/viewjob?jk=28a1ebf006fcad6f
Enterprise Test Automation Leader,Huntington Bank,"Columbus, OH",https://www.indeed.com/viewjob?jk=73772382ff24cfbf
Associate Security Engineer,Veeva Systems,"Columbus, OH",https://www.indeed.com/viewjob?jk=754ea662915abe71
"DevOps Engineer, Remote, Full Time",FullStack Labs,"Columbus, OH",https://www.indeed.com/viewjob?jk=5a4cf8eb15c9823a
Post Doctoral Scientist - Das Lab - Battelle Center for Mathematical Medicine,Nationwide Children's Hospital,"Columbus, OH",https://www.indeed.com/viewjob?jk=a2b0a291d9c04c71
CAD/GIS Administrator,TRA'BIAN ENTERPRISES,"Columbus, OH",https://www.indeed.com/viewjob?jk=14319da01139b5ac
Medical Devices Software Engineering Intern (Summer 2021),Battelle,"Columbus, OH",https://www.indeed.com/viewjob?jk=53c5d89680b475fb
Data Analytics Co-op/Intern - Fall 2021,"Honda R&D Americas, Inc.","Marysville, OH",https://www.indeed.com/viewjob?jk=95d73f768b34921f
DevOps Best Practice Software Engineer,"JPMorgan Chase Bank, N.A.","Columbus, OH",https://www.indeed.com/viewjob?jk=e5474275641f21b1
Cyber Security Engineer- McAfee/ SNORT,​Markesman Group,"Columbus, OH",https://www.indeed.com/viewjob?jk=9a80f9b6aeb6c69b
